red_algae,sugar_kelp,green_algae,soft_sediment,small_rocks,boulder_bedrock,remainder,row_sum,bull_kelp,kelp_crabs,SU,key,site,transect,depth,altitude,DVLlat,DVLlon,EucDIS,area
6,6,8,9,6,6,9,50,8,6,29,1_1,1,1,-5.24256,0.86,47.63027159,-122.398502,0.080115426,2.541605875
7,8,7,8,8,7,5,50,9,6,30,1_1,1,1,-5.24256,0.86,47.63027195,-122.3985078,0.080115426,2.541605875
6,8,7,8,7,7,7,50,6,8,31,1_1,1,1,-5.24256,0.9,47.63027267,-122.3985132,0.080115424,2.783532664
7,8,8,7,7,5,8,50,7,5,32,1_1,1,1,-5.21208,0.9,47.63027303,-122.3985233,0.080115424,2.783532664
8,8,8,8,7,7,4,50,7,5,33,1_1,1,1,-5.21208,0.91,47.63027339,-122.3985345,0.089517168,2.845732592
5,8,6,8,8,6,9,50,9,8,34,1_1,1,1,-5.21208,0.87,47.63027339,-122.398543,0.080115423,2.601056634
7,8,9,7,7,5,7,50,7,7,35,1_1,1,1,-5.21208,0.92,47.63027339,-122.3985505,0.080115423,2.908619811
6,6,8,7,6,8,9,50,7,7,36,1_1,1,1,-5.21208,0.94,47.63027267,-122.3985569,0.089517169,3.036456126
9,6,7,8,8,7,5,50,5,7,37,1_1,1,1,-5.21208,0.92,47.63027195,-122.3985649,0.089517171,2.908619811
9,7,8,8,7,7,4,50,9,7,38,1_1,1,1,-5.21208,0.96,47.63027016,-122.3985755,0.089517171,3.167041609
7,7,5,7,8,5,11,50,8,8,39,1_1,1,1,-5.21208,0.95,47.6302698,-122.3985814,0.040057714,3.101405221
6,6,7,8,8,6,9,50,6,7,40,1_1,1,1,-5.21208,0.95,47.63027052,-122.3985889,0.089517173,3.101405221
8,7,6,10,6,5,8,50,9,8,41,1_1,1,1,-5.21208,0.97,47.6302698,-122.3985969,0.080115428,3.233365288
7,8,9,9,7,8,2,50,8,8,42,1_1,1,1,-5.24256,0.96,47.63026908,-122.3986054,0.126635016,3.167041609
7,7,8,7,6,8,7,50,8,6,43,1_1,1,1,-5.27304,0.94,47.6302662,-122.3986134,0.080115434,3.036456126
7,8,9,6,5,7,8,50,7,9,44,1_1,1,1,-5.24256,0.94,47.630268,-122.3986193,0.080115431,3.036456126
6,5,7,7,7,7,11,50,7,6,45,1_1,1,1,-5.24256,0.96,47.63026836,-122.3986289,0.080115428,3.167041609
7,6,7,6,8,6,10,50,7,6,46,1_1,1,1,-5.24256,0.94,47.63026872,-122.398639,0.089517175,3.036456126
6,9,7,6,7,8,7,50,7,6,47,1_1,1,1,-5.24256,0.97,47.63026944,-122.3986491,0.080115428,3.233365288
5,9,7,8,8,5,8,50,7,7,48,1_1,1,1,-5.21208,0.96,47.63027016,-122.3986523,0.040057712,3.167041609
6,7,8,9,8,8,4,50,7,9,49,1_1,1,1,-5.24256,0.96,47.6302698,-122.3986598,0.080115426,3.167041609
8,8,6,8,8,8,4,50,8,5,50,1_1,1,1,-5.24256,0.97,47.63026872,-122.3986699,0.126635015,3.233365288
6,7,9,5,8,7,8,50,7,7,51,1_1,1,1,-5.334,0.9,47.63026908,-122.3986795,0.056563797,2.783532664
7,9,7,7,7,8,5,50,7,6,52,1_1,1,1,-5.30352,0.92,47.630268,-122.3986907,0.089517177,2.908619811
7,9,8,6,7,7,6,50,6,6,53,1_1,1,1,-5.27304,0.95,47.63026764,-122.3987072,0.16023086,3.101405221
8,8,6,5,7,9,7,50,7,6,54,1_1,1,1,-5.27304,0.95,47.63026764,-122.3987174,0.120173146,3.101405221
8,8,7,7,6,8,6,50,5,7,55,1_1,1,1,-5.27304,0.93,47.63026872,-122.3987275,0.120173142,2.972194322
9,6,7,6,7,6,9,50,7,7,56,1_1,1,1,-5.30352,0.94,47.63026728,-122.3987355,0.126635018,3.036456126
6,8,8,7,8,7,6,50,8,5,57,1_1,1,1,-5.30352,0.96,47.6302662,-122.3987456,0.080115431,3.167041609
7,7,6,7,7,7,9,50,7,8,58,1_1,1,1,-5.334,0.95,47.63026584,-122.3987584,0.160230866,3.101405221
7,7,6,6,5,7,12,50,7,5,59,1_1,1,1,-5.30352,0.98,47.63026548,-122.398775,0.165132592,3.30037626
6,7,7,7,8,7,8,50,6,7,60,1_1,1,1,-5.30352,0.98,47.63026477,-122.3987867,0.089517178,3.30037626
6,8,7,6,7,7,9,50,7,6,61,1_1,1,1,-5.36448,0.9,47.63026297,-122.3987915,0.056563798,2.783532664
8,7,8,7,7,7,6,50,8,8,62,1_1,1,1,-5.30352,0.99,47.63026009,-122.3987952,0.056563802,3.368074524
7,8,8,7,7,5,8,50,7,7,63,1_1,1,1,-5.36448,0.94,47.63025794,-122.3988048,0.120173166,3.036456126
6,5,5,7,7,8,12,50,6,9,64,1_1,1,1,-5.36448,0.96,47.63025902,-122.3988176,0.160230885,3.167041609
6,7,5,7,7,8,10,50,7,7,65,1_1,1,1,-5.36448,0.97,47.63026045,-122.3988379,0.200288601,3.233365288
7,7,7,7,8,9,5,50,7,7,66,1_1,1,1,-5.334,0.97,47.63026009,-122.3988501,0.120173162,3.233365288
7,8,9,6,7,7,6,50,7,7,67,1_1,1,1,-5.334,0.99,47.63026081,-122.3988677,0.200288599,3.368074524
7,7,9,8,9,7,3,50,6,8,68,1_1,1,1,-5.36448,0.98,47.63026045,-122.3988848,0.160230879,3.30037626
8,7,7,9,6,7,6,50,9,7,69,1_1,1,1,-5.36448,0.92,47.63026117,-122.398904,0.160230879,2.908619811
7,6,8,8,9,8,4,50,8,8,70,1_1,1,1,-5.39496,0.97,47.63026189,-122.3989221,0.165132603,3.233365288
7,6,7,4,7,7,12,50,6,8,71,1_1,1,1,-5.36448,0.98,47.63026153,-122.3989354,0.089517184,3.30037626
6,7,7,6,8,8,8,50,8,7,72,1_1,1,1,-5.36448,1.01,47.63025758,-122.3989482,0.079870959,3.505532927
8,7,8,6,7,8,6,50,9,7,73,1_1,1,1,-5.42544,0.97,47.63025578,-122.3989589,0.179034381,3.233365288
7,7,6,8,7,6,9,50,7,7,74,1_1,1,1,-5.42544,0.99,47.63025435,-122.3989722,0.160230897,3.368074524
8,7,7,7,8,7,6,50,7,9,75,1_1,1,1,-5.42544,1.03,47.63024896,-122.3989834,0.17870637,3.645740498
6,7,4,9,7,6,11,50,7,6,76,1_1,1,1,-5.4864,0.94,47.63025003,-122.3989925,0.126635051,3.036456126
7,9,7,6,8,7,6,50,7,7,77,1_1,1,1,-5.4864,0.89,47.63024896,-122.3990026,0.120173186,2.722020029
7,7,8,7,9,6,6,50,8,6,78,1_1,1,1,-5.4864,0.98,47.63025039,-122.3990138,0.040057728,3.30037626
7,8,7,8,6,5,9,50,8,8,79,1_1,1,1,-5.54736,0.92,47.63024824,-122.3990229,0.089517201,2.908619811
6,7,6,9,7,8,7,50,7,6,80,1_1,1,1,-5.54736,0.96,47.63024536,-122.3990303,0.089517203,3.167041609
7,6,7,6,7,7,10,50,7,8,81,1_1,1,1,-5.45592,1.02,47.63024428,-122.399033,0.056563808,3.575293066
9,7,5,7,9,7,6,50,7,6,82,1_1,1,1,-5.51688,0.99,47.63024249,-122.399041,0.040057732,3.368074524
7,7,7,7,9,6,7,50,8,7,83,1_1,1,1,-5.51688,0.97,47.63024249,-122.3990495,0.126635068,3.233365288
7,7,9,5,8,8,6,50,8,7,84,1_1,1,1,-5.57784,0.96,47.63024069,-122.3990586,0.08011547,3.167041609
8,7,7,8,7,6,7,50,5,6,85,1_1,1,1,-5.57784,0.97,47.63023782,-122.399065,0.040057737,3.233365288
8,5,7,7,8,8,7,50,8,6,86,1_1,1,1,-5.66928,0.91,47.6302353,-122.3990725,0.056563815,2.845732592
7,8,7,7,9,6,6,50,8,8,87,1_1,1,1,-5.60832,0.96,47.63023458,-122.3990869,0.126635084,3.167041609
7,8,6,6,8,8,7,50,7,6,88,1_1,1,1,-5.60832,0.97,47.63023279,-122.3990997,0.126635089,3.233365288
8,5,9,8,10,8,2,50,7,9,89,1_1,1,1,-5.6388,0.98,47.63022883,-122.3991151,0.126635097,3.30037626
7,7,7,8,7,6,8,50,8,6,90,1_1,1,1,-5.6388,0.96,47.63022668,-122.3991247,0.080115489,3.167041609
7,6,7,7,5,8,10,50,8,8,91,1_1,1,1,-5.69976,0.92,47.6302256,-122.399137,0.120173236,2.908619811
6,9,8,7,7,8,5,50,6,5,92,1_1,1,1,-5.76072,0.9,47.63022416,-122.3991508,0.12017324,2.783532664
6,7,7,7,7,5,11,50,5,6,93,1_1,1,1,-5.73024,0.94,47.63022201,-122.399162,0.113127639,3.036456126
7,9,8,7,6,6,7,50,7,8,94,1_1,1,1,-5.73024,0.97,47.63021985,-122.3991727,0.080115499,3.233365288
6,5,6,8,7,7,11,50,9,8,95,1_1,1,1,-5.73024,0.97,47.63021734,-122.3991807,0.079870958,3.233365288
7,7,7,7,7,8,7,50,7,6,96,1_1,1,1,-5.66928,1.05,47.63021266,-122.3991839,0.040057756,3.788697237
7,8,6,9,9,7,4,50,7,6,97,1_1,1,1,-5.76072,0.99,47.63021123,-122.3991946,0.040057755,3.368074524
7,7,9,7,7,6,7,50,6,8,98,1_1,1,1,-5.76072,1.01,47.63020907,-122.3992036,0.056563826,3.505532927
6,6,7,8,8,8,7,50,9,6,99,1_1,1,1,-5.76072,1.04,47.6302062,-122.3992132,0.089517256,3.716875222
7,4,8,7,6,7,11,50,9,9,100,1_1,1,1,-5.73024,1.06,47.63020368,-122.3992207,0.120173288,3.861206545
7,8,7,7,7,6,8,50,8,6,101,1_1,1,1,-5.73024,1.08,47.63020117,-122.3992298,0.089353199,4.008287036
7,7,7,7,9,6,7,50,4,8,102,1_1,1,1,-5.76072,1.06,47.63019937,-122.3992378,0.089517265,3.861206545
8,6,8,7,5,6,10,50,5,6,103,1_1,1,1,-5.73024,1.14,47.63019685,-122.399249,0.0893532,4.466023519
9,8,7,9,6,8,3,50,8,6,104,1_1,1,1,-5.73024,1.14,47.63019506,-122.3992559,0.080115536,4.466023519
7,6,8,6,7,6,10,50,9,8,105,1_1,1,1,-5.76072,1.14,47.63019218,-122.3992682,0.089517275,4.466023519
7,6,8,7,5,6,11,50,6,8,106,1_1,1,1,-5.88264,1.03,47.63019182,-122.3992863,0.200288855,3.645740498
7,9,6,7,9,8,4,50,9,8,107,1_1,1,1,-5.85216,1.08,47.63018967,-122.3993023,0.089517277,4.008287036
7,6,7,7,6,6,11,50,8,7,108,1_1,1,1,-6.06552,0.93,47.63018823,-122.3993092,0.12017332,2.972194322
6,6,6,9,9,8,6,50,8,9,109,1_1,1,1,-6.06552,0.93,47.63018787,-122.3993183,0.08951728,2.972194322
8,8,9,8,8,5,4,50,9,8,110,1_1,1,1,-5.9436,1.02,47.63018643,-122.3993087,0.200288875,3.575293066
8,8,6,8,6,7,7,50,9,7,111,1_1,1,1,-6.03504,0.96,47.63018607,-122.3993092,0.16513282,3.167041609
6,8,8,7,6,7,8,50,7,6,112,1_1,1,1,-6.06552,0.97,47.63018176,-122.3993236,0.089353206,3.233365288
6,8,6,7,7,5,11,50,7,7,113,1_2,1,2,-5.57784,0.78,47.63037144,-122.3983381,0.126635018,2.090742312
6,7,8,7,6,8,8,50,8,8,114,1_2,1,2,-5.51688,0.85,47.63037287,-122.3983471,0.080115427,2.482842407
7,6,9,7,9,5,7,50,9,6,115,1_2,1,2,-5.57784,0.77,47.63037323,-122.3983589,0.089517176,2.037477181
7,7,8,7,8,7,6,50,7,8,116,1_2,1,2,-5.60832,0.76,47.63037287,-122.3983685,0.089517176,1.984899342
7,7,7,8,7,6,8,50,7,9,117,1_2,1,2,-5.60832,0.75,47.63037144,-122.3983791,0.165132587,1.933008795
6,7,7,7,8,7,8,50,7,7,118,1_2,1,2,-5.57784,0.81,47.63036928,-122.398385,0.0565638,2.254661458
8,7,8,8,6,6,7,50,6,6,119,1_2,1,2,-5.60832,0.77,47.6303682,-122.3983962,0.16023087,2.037477181
8,9,7,8,6,8,4,50,6,7,120,1_2,1,2,-5.54736,0.87,47.63036856,-122.3984079,0.08951718,2.601056634
7,7,6,6,7,8,9,50,9,8,121,1_2,1,2,-5.57784,0.87,47.63036677,-122.3984196,0.126635026,2.601056634
7,8,8,8,6,6,7,50,9,8,122,1_2,1,2,-5.54736,0.86,47.63036569,-122.398434,0.165132604,2.541605875
7,7,7,9,7,7,6,50,8,7,123,1_2,1,2,-5.60832,0.89,47.63036174,-122.3984447,0.039935482,2.722020029
6,7,6,8,9,8,6,50,7,6,124,1_2,1,2,-5.57784,0.85,47.63035994,-122.39845,0.126635041,2.482842407
8,6,6,7,5,8,10,50,7,6,125,1_2,1,2,-5.6388,0.83,47.63035706,-122.3984666,0.144294711,2.367377349
6,8,8,9,7,6,6,50,7,7,126,1_2,1,2,-5.60832,0.89,47.63035599,-122.3984788,0.126635048,2.722020029
7,6,8,7,5,7,10,50,6,6,127,1_2,1,2,-5.6388,0.89,47.63035419,-122.3984922,0.120173185,2.722020029
7,7,7,7,8,9,5,50,9,9,128,1_2,1,2,-5.60832,0.93,47.63035096,-122.3984975,0.056563808,2.972194322
8,7,8,8,7,7,5,50,7,9,129,1_2,1,2,-5.6388,0.91,47.63034952,-122.3985066,0.16513265,2.845732592
7,7,7,6,6,7,10,50,6,8,130,1_2,1,2,-5.66928,0.92,47.63034844,-122.3985209,0.126635066,2.908619811
7,7,8,7,7,7,7,50,6,7,131,1_2,1,2,-5.6388,0.91,47.630347,-122.3985369,0.204231223,2.845732592
7,8,7,7,6,6,9,50,7,7,132,1_2,1,2,-5.6388,0.95,47.63034413,-122.3985503,0.089517212,3.101405221
7,7,7,9,7,6,7,50,7,6,133,1_2,1,2,-5.6388,0.95,47.63034054,-122.3985588,0.080115477,3.101405221
8,7,7,7,6,7,8,50,8,7,134,1_2,1,2,-5.69976,0.95,47.63033802,-122.39857,0.144294744,3.101405221
8,7,8,7,6,6,8,50,9,8,135,1_2,1,2,-5.69976,0.94,47.63034054,-122.3985828,0.126635082,3.036456126
6,7,7,8,7,7,8,50,8,9,136,1_2,1,2,-5.69976,0.93,47.63033982,-122.3985951,0.080115478,2.972194322
7,6,7,6,8,8,8,50,8,8,137,1_2,1,2,-5.73024,0.91,47.63033946,-122.3986063,0.080115477,2.845732592
8,6,7,7,7,8,7,50,7,8,138,1_2,1,2,-5.73024,0.91,47.63033838,-122.3986196,0.165132681,2.845732592
6,6,6,7,7,7,11,50,6,6,139,1_2,1,2,-5.73024,0.93,47.63033622,-122.3986324,0.160230965,2.972194322
7,7,8,6,8,7,7,50,7,7,140,1_2,1,2,-5.73024,0.96,47.63033515,-122.3986425,0.089517224,3.167041609
8,8,6,8,7,8,5,50,7,7,141,1_2,1,2,-5.73024,0.95,47.63033299,-122.3986537,0.126635097,3.101405221
6,8,8,7,8,7,6,50,8,6,142,1_2,1,2,-5.76072,0.94,47.63032868,-122.3986708,0.089517233,3.036456126
7,8,8,8,8,7,4,50,5,7,143,1_2,1,2,-5.76072,0.94,47.63032976,-122.3986916,0.243641687,3.036456126
7,7,6,6,8,9,7,50,7,7,144,1_2,1,2,-5.7912,0.94,47.63033012,-122.3987092,0.120173236,3.036456126
6,9,8,6,7,8,6,50,6,7,145,1_2,1,2,-5.76072,0.94,47.63032904,-122.3987273,0.126635105,3.036456126
8,7,7,7,6,6,9,50,9,7,146,1_2,1,2,-5.82168,0.91,47.63032796,-122.3987412,0.16513271,2.845732592
8,6,7,8,7,7,7,50,6,8,147,1_2,1,2,-5.7912,0.94,47.63032544,-122.3987572,0.126635112,3.036456126
7,5,8,9,8,8,5,50,6,8,148,1_2,1,2,-5.82168,0.96,47.63032329,-122.3987683,0.120173251,3.167041609
7,6,6,7,7,6,11,50,7,7,149,1_2,1,2,-5.82168,0.95,47.63032113,-122.3987779,0.040057753,3.101405221
7,7,7,6,8,5,10,50,7,7,150,1_2,1,2,-5.97408,0.86,47.63031718,-122.3987886,0.144294783,2.541605875
7,6,7,7,7,6,10,50,8,8,151,1_2,1,2,-5.9436,0.9,47.63031502,-122.3988009,0.089517249,2.783532664
6,7,7,7,7,7,9,50,8,8,152,1_2,1,2,-5.88264,0.93,47.63031251,-122.3988142,0.080115516,2.972194322
9,8,6,7,7,6,7,50,7,6,153,1_2,1,2,-5.91312,0.93,47.63030927,-122.3988286,0.165132765,2.972194322
8,6,6,8,6,7,9,50,6,7,154,1_2,1,2,-5.91312,0.96,47.63030532,-122.3988403,0.089517262,3.167041609
6,7,6,6,7,5,13,50,7,8,155,1_2,1,2,-5.97408,0.92,47.63030209,-122.3988537,0.089517269,2.908619811
8,5,6,7,8,8,8,50,6,7,156,1_2,1,2,-6.00456,0.91,47.6302985,-122.398867,0.160231077,2.845732592
9,7,7,7,7,9,4,50,7,7,157,1_2,1,2,-6.00456,0.94,47.63029382,-122.3988809,0.12663518,3.036456126
6,8,7,7,5,9,8,50,7,7,158,1_2,1,2,-6.00456,0.94,47.6302967,-122.3988936,0.14429482,3.036456126
7,7,9,8,9,9,1,50,7,7,159,1_2,1,2,-6.06552,0.86,47.63030029,-122.3989048,0.113127669,2.541605875
8,8,6,6,8,6,8,50,7,7,160,1_2,1,2,-6.06552,0.86,47.63030065,-122.3989139,0.080115536,2.541605875
9,9,8,6,6,6,6,50,8,5,161,1_2,1,2,-6.096,0.82,47.63030209,-122.3989235,0.126635163,2.310675757
7,7,8,7,6,7,8,50,8,8,162,1_2,1,2,-6.06552,0.85,47.63030317,-122.398931,0.089517266,2.482842407
7,8,10,7,7,8,3,50,8,7,163,1_2,1,2,-6.12648,0.83,47.63030353,-122.398939,0.089517265,2.367377349
8,7,9,7,7,7,5,50,7,8,164,1_2,1,2,-6.15696,0.81,47.63030317,-122.398948,0.120173296,2.254661458
6,8,8,7,6,8,7,50,9,6,165,1_2,1,2,-6.12648,0.84,47.63030281,-122.3989571,0.089517268,2.424766232
5,7,7,6,6,8,11,50,8,6,166,1_2,1,2,-6.12648,0.85,47.63030173,-122.3989614,0.040057767,2.482842407
5,9,7,7,7,6,9,50,7,9,167,1_2,1,2,-6.12648,0.83,47.63030281,-122.3989571,0.039935479,2.367377349
8,6,7,8,7,6,8,50,8,7,168,1_2,1,2,-6.096,0.86,47.63030173,-122.3989694,0.165132785,2.541605875
7,6,6,6,8,7,10,50,5,7,169,1_2,1,2,-5.9436,0.98,47.63030353,-122.3989784,0.039935479,3.30037626
7,7,10,8,8,7,3,50,8,7,170,1_2,1,2,-5.97408,0.97,47.63030424,-122.3989752,0.126325799,3.233365288
5,7,7,8,6,8,9,50,8,6,171,1_2,1,2,-6.03504,0.93,47.63030209,-122.3989806,0.165132784,2.972194322
5,6,6,7,8,7,11,50,9,7,172,1_2,1,2,-5.9436,1.02,47.63030173,-122.398971,0.126635162,3.575293066
8,7,5,7,7,6,10,50,8,9,173,1_2,1,2,-6.00456,0.97,47.63030101,-122.3989619,0.126635163,3.233365288
7,8,8,8,7,6,6,50,8,7,174,1_2,1,2,-6.096,0.93,47.63029921,-122.3989742,0.165132796,2.972194322
10,7,7,5,8,5,8,50,6,5,175,1_2,1,2,-6.096,0.93,47.63030388,-122.39898,0.07987096,2.972194322
6,6,9,7,7,7,8,50,7,7,176,1_2,1,2,-6.06552,0.93,47.63030353,-122.3989902,0.12663516,2.972194322
6,9,9,9,8,5,4,50,7,7,177,1_2,1,2,-5.97408,0.96,47.63030424,-122.399004,0.126635158,3.167041609
8,6,7,8,6,8,7,50,5,7,178,1_2,1,2,-6.00456,0.97,47.6303046,-122.3990195,0.120173292,3.233365288
7,8,7,7,6,6,9,50,8,6,179,1_2,1,2,-6.06552,0.96,47.63030568,-122.3990339,0.144294804,3.167041609
6,6,7,7,7,7,10,50,8,9,180,1_2,1,2,-6.096,0.95,47.63030532,-122.3990467,0,3.101405221
8,9,5,8,6,8,6,50,7,6,181,1_2,1,2,-6.03504,0.96,47.63030388,-122.3990579,0.126635156,3.167041609
5,8,8,6,8,7,8,50,6,8,182,1_2,1,2,-6.06552,0.93,47.63030317,-122.3990691,0.089517264,2.972194322
8,8,6,8,7,7,6,50,8,7,183,1_2,1,2,-6.096,0.93,47.63030353,-122.3990744,0,2.972194322
7,8,8,8,6,7,6,50,8,6,184,1_2,1,2,-6.03504,0.99,47.63030424,-122.3990728,0.215626949,3.368074524
8,7,8,7,7,7,6,50,6,8,185,1_2,1,2,-6.12648,0.9,47.63029957,-122.39906,0.040057768,2.783532664
5,7,4,8,7,7,12,50,5,6,186,1_2,1,2,-6.15696,0.87,47.63030388,-122.3990717,0.169691495,2.601056634
8,7,7,6,7,6,9,50,6,6,187,1_2,1,2,-6.18744,0.82,47.6303064,-122.3990787,0.113127658,2.310675757
5,7,8,5,5,10,10,50,6,9,188,1_2,1,2,-6.27888,0.78,47.63030927,-122.3990915,0.204231358,2.090742312
9,7,7,6,5,7,9,50,7,7,189,1_2,1,2,-6.12648,0.88,47.63030999,-122.3991069,0.160231038,2.661194685
10,8,8,6,7,8,3,50,6,5,190,1_2,1,2,-6.18744,0.86,47.63031071,-122.3991197,0.080115519,2.541605875
6,7,9,7,5,9,7,50,6,7,191,1_2,1,2,-6.21792,0.88,47.63031035,-122.3991325,0.20423135,2.661194685
7,7,8,6,7,6,9,50,6,7,192,1_2,1,2,-6.18744,0.9,47.63030963,-122.3991421,0.089517254,2.783532664
9,6,7,8,7,8,5,50,6,7,193,1_2,1,2,-6.15696,0.92,47.63031143,-122.3991576,0.165132755,2.908619811
7,6,6,7,9,7,8,50,7,6,194,1_2,1,2,-6.096,1.02,47.63031107,-122.3991768,0.165132755,3.575293066
7,7,8,8,9,6,5,50,7,6,195,1_2,1,2,-6.096,1.03,47.63030963,-122.3991869,0.04005776,3.645740498
5,8,6,8,6,7,10,50,6,6,196,1_2,1,2,-6.21792,0.9,47.63030712,-122.3991912,0.039935479,2.783532664
8,6,8,7,8,7,6,50,6,7,197,1_2,1,2,-6.12648,0.97,47.63030604,-122.3991816,0.179034519,3.233365288
7,8,8,6,9,9,3,50,8,9,198,1_2,1,2,-6.12648,0.99,47.63030353,-122.3991736,0.126635158,3.368074524
7,6,7,8,7,6,9,50,8,8,199,1_2,1,2,-6.30936,0.83,47.6303046,-122.399181,0.07987096,2.367377349
6,7,7,6,8,6,10,50,8,7,200,1_2,1,2,-6.18744,0.97,47.63030353,-122.3991816,0.03993548,3.233365288
8,8,6,7,8,7,6,50,8,6,201,1_2,1,2,-6.21792,0.9,47.63030209,-122.3991661,0.056563833,2.783532664
7,5,8,6,7,7,10,50,8,6,202,1_2,1,2,-6.18744,0.95,47.63030281,-122.3991762,0.03993548,3.101405221
8,7,8,7,6,8,6,50,7,8,203,1_2,1,2,-6.18744,0.93,47.63030353,-122.399189,0.039935479,2.972194322
6,7,7,7,8,6,9,50,7,6,204,1_2,1,2,-6.21792,0.91,47.63030676,-122.3991992,0.253270299,2.845732592
5,8,7,7,8,7,8,50,8,7,205,1_3,1,3,-5.88264,0.72,47.63044976,-122.398433,0.089517182,1.781460905
8,7,7,8,7,7,6,50,7,9,206,1_3,1,3,-5.85216,0.74,47.63044689,-122.3984442,0.089517185,1.881805539
6,7,6,8,7,7,9,50,7,8,207,1_3,1,3,-5.88264,0.73,47.63044581,-122.3984533,0.120173163,1.831289576
9,6,6,6,7,6,10,50,8,7,208,1_3,1,3,-5.91312,0.71,47.63044653,-122.3984677,0.160230878,1.732319526
5,7,6,7,8,8,9,50,8,8,209,1_3,1,3,-5.88264,0.75,47.63044617,-122.3984783,0.056563801,1.933008795
7,7,7,7,8,6,8,50,8,7,210,1_3,1,3,-5.91312,0.74,47.63044509,-122.3984863,0.120173162,1.881805539
5,8,7,6,8,7,9,50,6,8,211,1_3,1,3,-5.88264,0.76,47.63044329,-122.3984959,0.089517188,1.984899342
7,7,7,6,7,6,10,50,7,8,212,1_3,1,3,-5.88264,0.76,47.63044186,-122.3985098,0.16513262,1.984899342
6,7,7,7,6,7,10,50,6,7,213,1_3,1,3,-5.88264,0.78,47.63044078,-122.3985231,0.120173172,2.090742312
